Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
KMB,"Kimberly-Clark Corp",132.11,-8.22,-5.86%,135.43,131.52,8343100,04/23/21
KMI,"Kinder Morgan",16.78,0.42,+2.57%,16.85,16.39,15782600,04/23/21
KMX,"Carmax Inc",131.08,2.03,+1.57%,131.6,128.36,582900,04/23/21
KO,"Coca-Cola Company",54.47,0.030000000000001,+0.06%,54.59,54.17,9023400,04/23/21
KR,"Kroger Company",37.35,-0.079999999999998,-0.21%,37.45,36.83,5835300,04/23/21
KSU,"Kansas City Southern",301.62,5.04,+1.70%,302.02,296.78,2844900,04/23/21
L,"Loews Corp",55.21,0.93,+1.71%,55.4,54.26,519700,04/23/21
LB,"L Brands Inc",67.38,1.31,+1.98%,67.66,65.46,2069400,04/23/21
LDOS,"Leidos Holdings Inc",100.66,-0.63000000000001,-0.62%,101.72,100.2,990300,04/23/21
LEG,"Leggett & Platt Inc",50.5,0.82,+1.65%,50.68,49.38,633800,04/23/21
LEN,"Lennar Corp",101.86,1.11,+1.10%,102.5,100.21,1642800,04/23/21
LH,"Laboratory Corp of America Holdings",263.95,-0.90000000000003,-0.34%,266.24,262.46,477300,04/23/21
LHX,"L3Harris Technologies Inc",211.02,0.31,+0.15%,211.25,208.65,1018600,04/23/21
LIN,"Linde Plc",291.6,2.9,+1.00%,292.42,287.85,1290700,04/23/21
LKQ,"LKQ Corp",44.99,0.71,+1.60%,45.16,44.13,948800,04/23/21
LLY,"Eli Lilly and Company",188.72,1.67,+0.89%,189.13,187.03,2483200,04/23/21
LMT,"Lockheed Martin Corp",377.29,-2.8,-0.74%,378.59,373.32,1298200,04/23/21
LNC,"Lincoln National Corp",63.62,1.38,+2.22%,63.98,62.17,1536900,04/23/21
LNT,"Alliant Energy Corp",56.44,-0.41,-0.72%,57.03,56.42,983800,04/23/21
LOW,"Lowe's Companies",200.93,-0.37,-0.18%,201.89,199.51,3634000,04/23/21
LRCX,"Lam Research Corp",627.49,12.95,+2.11%,630,613.57,1489300,04/23/21
LUMN,Centurylink,13.04,0.029999999999999,+0.23%,13.14,12.95,7709900,04/23/21
LUV,"Southwest Airlines Company",61.53,0.46,+0.75%,61.8,60.75,5026600,04/23/21
LVS,"Las Vegas Sands",59.76,1.43,+2.45%,59.95,58.41,5583500,04/23/21
LW,"Lamb Weston Holdings Inc",81.34,1.22,+1.52%,81.65,80.24,406800,04/23/21
LYB,"Lyondellbasell Industries NV",104.41,2.41,+2.36%,105.02,101.74,1244800,04/23/21
LYV,"Live Nation Entertainment",81.78,0.8,+0.99%,82.17,81.14,1315100,04/23/21
MA,"Mastercard Inc",387.06,3.7,+0.97%,389.88,383.46,2295300,04/23/21
MAA,"Mid-America Apartment Communities",155.19,-0.33000000000001,-0.21%,156.38,155.05,352600,04/23/21
MAR,"Marriot Int Cl A",148.36,1.72,+1.17%,148.71,145.8,1240700,04/23/21
MAS,"Masco Corp",64.75,0.68000000000001,+1.06%,64.83,63.84,1644900,04/23/21
MCD,"McDonald's Corp",234.58,1.62,+0.70%,235.24,233.1,2137800,04/23/21
MCHP,"Microchip Technology",156.38,5.01,+3.31%,157.22,152.76,2316100,04/23/21
MCK,"Mckesson Corp",196.1,0.76999999999998,+0.39%,197.21,193.97,661000,04/23/21
MCO,"Moody's Corp",327.73,2.68,+0.82%,328.99,322.46,751600,04/23/21
MDLZ,"Mondelez Intl Inc",59.51,-0.04,-0.07%,59.96,59.37,6588500,04/23/21
MDT,"Medtronic Inc",131.2,1.35,+1.04%,131.79,129.51,3801100,04/23/21
MET,"Metlife Inc",62.79,0.89,+1.44%,63.13,61.75,3250700,04/23/21
MGM,"MGM Resorts International",41.51,0.76,+1.87%,41.55,40.84,4219000,04/23/21
MHK,"Mohawk Industries",203.34,4.17,+2.09%,203.71,199.41,647200,04/23/21
MKC,"Mccormick & Company Inc",91.47,0.049999999999997,+0.05%,91.82,90.77,1369000,04/23/21
MKTX,"Marketaxess Holdings",507.46,4.58,+0.91%,510.7,492.35,303100,04/23/21
MLM,"Martin Marietta Materials",350.82,2.26,+0.65%,352.48,347.82,210800,04/23/21
MMC,"Marsh & Mclennan Companies",127.67,0.76000000000001,+0.60%,127.96,126.65,1231400,04/23/21
MMM,"3M Company",202.2,1.3,+0.65%,203.15,200.99,1864600,04/23/21
MNST,"Monster Beverage Cp",98.68,1.17,+1.20%,99.24,97.59,1526900,04/23/21
MO,"Altria Group",47.39,0.89,+1.91%,47.51,46.45,9045700,04/23/21
MOS,"Mosaic Company",33.95,0.89,+2.69%,34.03,32.91,3218300,04/23/21
MPC,"Marathon Petroleum Corp",53,0.94,+1.81%,53.24,52.09,4179200,04/23/21
MPWR,"Monolithic Power Sys",380.79,8.61,+2.31%,387.13,377.25,416200,04/23/21
MRK,"Merck & Company",77.88,-0.079999999999998,-0.10%,78.2,77.46,8205600,04/23/21
MRO,"Marathon Oil Corp",10.67,0.34,+3.29%,10.75,10.33,14908100,04/23/21
MS,"Morgan Stanley",80.95,2.66,+3.40%,81.3,78.29,12005500,04/23/21
MSCI,"MSCI Inc",486.5,14.75,+3.13%,488.36,472.05,434900,04/23/21
MSFT,"Microsoft Corp",261.15,3.98,+1.55%,261.51,257.27,21499199,04/23/21
MSI,"Motorola Solutions",189.98,2.55,+1.36%,190.84,187.28,540500,04/23/21
MTB,"M&T Bank Corp",153.12,4.03,+2.70%,153.89,148.13,1076000,04/23/21
MTD,"Mettler-Toledo International",1335.15,33.59,+2.58%,1339.38,1301.54,84500,04/23/21
MU,"Micron Technology",86.03,1.32,+1.56%,86.46,84.57,18168500,04/23/21
MXIM,"Maxim Integrated",96.19,3,+3.22%,96.83,93.85,4084500,04/23/21
NCLH,"Norwegian Cruise Ord",29.81,0.81,+2.79%,30.02,28.77,15325600,04/23/21
NDAQ,"Nasdaq Inc",162.47,2.75,+1.72%,163.27,159.56,680000,04/23/21
NEE,"Nextera Energy",78.24,-0.079999999999998,-0.10%,78.62,77.83,6035300,04/23/21
NEM,"Newmont Mining Corp",65.72,0.019999999999996,+0.03%,66.64,65.49,4878300,04/23/21
NFLX,"Netflix Inc",505.55,-3.23,-0.63%,509.7,500.7,7314600,04/23/21
NI,"NiSource Inc",25.72,-0.18,-0.69%,26.09,25.6,3216800,04/23/21
NKE,"Nike Inc",130.19,1.01,+0.78%,130.65,128.46,7489500,04/23/21
NLOK,"Nortonlifelock Inc",22.25,0.25,+1.14%,22.3,21.94,3599800,04/23/21
NLSN,"Nielsen Holdings Plc",25.6,0.48,+1.91%,25.75,25.06,3193400,04/23/21
NOC,"Northrop Grumman Corp",342.04,-1.39,-0.40%,343.8,340.11,1013100,04/23/21
NOV,"Nov Inc",13.29,0.24,+1.84%,13.43,12.88,2945100,04/23/21
NOW,"Servicenow Inc",552.7,4.21,+0.77%,555.89,549.33,780400,04/23/21
NRG,"NRG Energy",37.12,0.07,+0.19%,37.31,36.69,1914200,04/23/21
NSC,"Norfolk Southern Corp",282,3.46,+1.24%,283.12,278.59,836400,04/23/21
NTAP,"Netapp Inc",76.94,1.44,+1.91%,77.29,75.25,984400,04/23/21
NTRS,"Northern Trust Corp",109.53,2.77,+2.59%,109.97,106.38,897400,04/23/21
NUE,"Nucor Corp",77.83,1.74,+2.29%,77.87,75.6,4081800,04/23/21
NVDA,"Nvidia Corp",610.61,16.6,+2.79%,613.4,596.01,5694300,04/23/21
NVR,"NVR Inc",4862.59,36.22,+0.75%,4916.81,4760.27,16800,04/23/21
NWL,"Newell Rubbermaid Inc",26.54,-0.13,-0.51%,26.87,26.3,2622200,04/23/21
