Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
WLTW,"Willis Towers WT",232.89,-0.26,-0.11%,234.24,232.52,912300,04/23/21
WM,"Waste Management",135.5,0.75,+0.56%,135.86,134.41,1089600,04/23/21
WMB,"Williams Companies",23.61,0.37,+1.59%,23.68,23.25,6692100,04/23/21
WMT,"Wal-Mart Stores",139.9,0.23000000000002,+0.16%,140.34,139.03,7661300,04/23/21
WRB,"W.R. Berkley Corp",81.36,0.90000000000001,+1.12%,81.78,80.35,404000,04/23/21
WRK,"Westrock Company",53.3,0.8,+1.52%,53.35,52.14,2981300,04/23/21
WST,"West Pharmaceutical Services",323.68,1.84,+0.57%,326,319.5,309700,04/23/21
WU,"Western Union Company",26.33,0.28,+1.07%,26.55,25.94,3176400,04/23/21
WY,"Weyerhaeuser Company",38.2,0.37,+0.98%,38.53,38,4895800,04/23/21
WYNN,"Wynn Resorts Ltd",124.15,-0.23,-0.18%,126.22,123.66,2619800,04/23/21
XEL,"XCEL Energy Inc",71.08,-0.04,-0.06%,71.68,70.93,3003800,04/23/21
XLNX,"Xilinx Inc",129.66,6.58,+5.35%,130.18,124.45,1779900,04/23/21
XOM,"Exxon Mobil Corp",55.57,0.3,+0.54%,55.94,55.18,15341400,04/23/21
XRAY,"Dentsply Sirona Inc",66.2,0.9,+1.38%,66.47,65.27,1993500,04/23/21
XYL,"Xylem Inc",110.48,1.4,+1.28%,110.88,109.25,468800,04/23/21
YUM,"Yum! Brands",117.72,-0.099999999999994,-0.08%,118.19,117.34,1097500,04/23/21
ZBH,"Zimmer Biomet Holdings",177.62,0.24000000000001,+0.14%,178.87,176.49,909400,04/23/21
ZBRA,"Zebra Technologies",497.41,10.06,+2.06%,498.05,490.01,320900,04/23/21
ZION,"Zions Bancorp",54.27,1.72,+3.26%,54.73,52.24,2023000,04/23/21
ZTS,"Zoetis Inc Cl A",170.54,1.47,+0.87%,171.3,168.53,1057400,04/23/21
"Downloaded from Barchart.com as of 04-26-2021 12:12am CDT"
